puzzle,method,solution-length,solution,initial-h,run-time(ms),nodes-expanded,nodes-per-second,iterations
eankfbodhpjilmgc,disjoint-database,51,ldruluurdrdrdlluururdddlluruullddrrurddlluulurrdrdd,43,665.244,442632,665368,5
cidbgjaekhopmlfn,disjoint-database,45,ldrulllurrruldrdlldrulluruldrruldrrdlllurrddr,37,21.616,12238,566155,5
npkhoelbidacgjfm,disjoint-database,53,ddruruldlddluuurddluurrdrdluruldddruuldldrulldruurdrd,43,100.849,65548,649962,6
aldjfpibkconemgh,disjoint-database,38,dldrrurdluldruuruldlurdldrurdlulldrrdr,32,3.265,1438,440429,4
mbafigehodpklcjn,disjoint-database,50,ldluuurdrddruulurddlllurrddlluururdlulddrrrdllurrd,46,15.056,8844,587407,3
fngicojbdlpamkeh,disjoint-database,54,dlulurdrulldruurdruldrddlluurrddlluuruldlurdruldldrrrd,44,109.151,71428,654396,6
konhgplcefmaibjd,disjoint-database,54,ulddrurrddlulururddlldrruluurdllurdldluurdlddrruulddrr,46,59.519,37586,631496,5
opgmbakjcnlhifed,disjoint-database,57,rrdddluuulldrrrdlluurrdddlluldrrurulldruuldddruuulldrdrrd,47,1275.69,863105,676578,6
pamdelhigfncbkoj,disjoint-database,50,ddrurulddruldrruldrdlluuurdllddrurrullldrulurddrdr,42,83.528,52436,627766,5
inboeadpjmkclfhg,disjoint-database,46,ddllluurulddruurdddluurruldrddlllurrulddruurdd,38,24.76,14716,594346,5
ojanpdikcemfghbl,disjoint-database,55,drruuldrurdluldlurdldrrdllururddluurrulldrdrulddluurdrd,47,271.575,178656,657851,5
ikcboedgjpfnlhma,disjoint-database,53,rdlurrululdldrdlurururdddllurrdlluruldluurddluurrdrdd,45,385.765,256028,663689,5
glfenbpdohjkcmia,disjoint-database,57,dlldruuldrurddluruullddrururdldrdluruldlurulldrrulldrdrdr,47,5792.26,3942304,680616,6
ojahdkbipfmlgcne,disjoint-database,56,uurrdldluurddrdluldrurdrulurdldluurdllurrdllururdrulddrd,44,930.874,625151,671574,7
bilngadockefpmhj,disjoint-database,43,ruluruldrdrruuldldlurdrdruuulddrullddruldrr,41,0.853,78,91442,2
